condition|pulmonary|transplant|year_verification
ebv|N|N|New only
effect of high altitude|Y|N|New only
effects of immunotherapy|N|N|New only
efficacy|N|N|Both
egfr gene mutation|N|N|New only
emesis|N|N|New only
empowerment|N|N|New only
endometrial adenosquamous carcinoma|N|N|New only
endometrioma|N|N|New only
endometrium cancer|N|N|New only
epicondylitis, lateral humeral|N|N|New only
erythematotelangiectatic rosacea|N|N|New only
eustachian tube dysfunction|N|N|New only
exercise addiction|N|N|New only
exposure to man-made visible light|N|N|New only
extensive-stage small cell lung cancer|N|N|New only
feeding intolerance|N|N|New only
female sexual dysfunction|N|N|New only
female stress urinary incontinence|N|N|New only
femoral artery occlusion|N|N|New only
fluid responsiveness|Y|N|New only
functional abdominal pain|N|N|New only
gallbladder disease|N|N|New only
gastrointestinal complications|N|N|Both
gastrointestinal tolerance|N|N|New only
gist|N|N|New only
gliomas|N|N|New only
glycemic control|N|N|Both
graft failure|Y|Y|New only
hcv coinfection|N|N|New only
head and neck cancers|N|N|Both
head and neck squamous cell cancer|N|N|New only
healthy elderly|N|N|New only
healthy women|N|N|New only
heart transplant|Y|Y|New only
heart; dysfunction postoperative, cardiac surgery|N|N|New only
helicobacter pylori|N|N|New only
hepatic cancer|N|N|New only
hepatic steatosis|N|N|New only
hepatitis c (hcv)|N|N|New only
hiatal hernia|N|N|Both
hiv disease|N|N|New only
hiv-infection|N|N|New only
hodgkins disease|N|N|Both
house dust mite allergy|N|N|New only
hyperandrogenemia|N|N|New only
hypertensive disease|N|N|New only
hypertrophic scars|N|N|New only
hypoglycaemia|N|N|New only
impaired renal function|N|N|New only
impaired wound healing|N|N|New only
impulsivity|N|N|New only
injury prevention|N|N|New only
intermediate uveitis|N|N|New only
intracranial hemorrhage|N|N|New only
intradialytic hypotension|N|N|New only
invasive ductal breast cancer|N|N|New only
iron deficiency anaemia|N|N|New only
irritable bowel syndrome characterized by constipation|N|N|New only
ischemic cerebrovascular accident|N|N|New only
knee arthroplasty, total|N|N|New only
lentigo maligna|N|N|New only
localized non-resectable adult liver carcinoma|N|N|New only
localized prostate cancer|N|N|Both
lung transplant|Y|Y|New only
lymphoid leukemia|N|N|New only
lymphoma, small lymphocytic|N|N|Both
lysosomal acid lipase deficiency|N|N|New only
malignant tumor|N|N|New only
medical education|N|N|New only
mental health impairment|N|N|New only
metabolic disorder|N|N|New only
metabolic disorders|N|N|New only
metastatic castration resistant prostate cancer|N|N|New only
metastatic malignant neoplasm|N|N|New only
migraines|N|N|New only
mild cognitive impairment (mci)|N|N|New only
mitral insufficiency|N|N|New only
mucosal melanoma|N|N|New only
multiple myeloma (mm)|N|N|New only
multiple sclerosis, secondary progressive|N|N|New only
multivessel coronary artery disease|N|N|New only
muscle injury|N|N|New only
myofascial trigger point pain|N|N|New only
nasolabial fold|N|N|New only
neonatal hyperbilirubinemia|N|N|New only
neoplasms, head and neck|N|N|New only
neoplasms, malignant|N|N|Both
newborn|N|N|New only
nhl|N|N|Both
nodal marginal zone lymphoma|N|N|New only
non alcoholic steatohepatitis|N|N|New only
non-hodgkin's lymphoma (nhl)|N|N|Both
non-ischemic cardiomyopathy|N|N|New only
non-proliferative diabetic retinopathy|N|N|New only
nonalcoholic fatty liver disease (nafld)|N|N|New only
normal volunteers|N|N|New only
obstructive jaundice|N|N|New only
ocular surface disease|N|N|New only
opioid induced constipation|N|N|New only
opioid use, unspecified|N|N|New only
oropharyngeal dysphagia|N|N|New only
osteoarthritis knee|N|N|New only
osteoarthritis,knee|N|N|New only
ovarian sarcoma|N|N|New only
ovary cancer|N|N|New only
pancreatic disease|N|N|New only
pancreatic insufficiency|N|N|Both
parkinson's disease dementia|N|N|New only
parkinsons disease|N|N|New only
periampullary adenocarcinoma|N|N|New only
personality disorder|N|N|New only
pharmacogenetics|N|N|New only
pharmacokinetics of asp1941|N|N|New only
platelet function|N|N|New only
pleural mesothelioma|Y|N|New only
post operative analgesia|N|N|Both
post traumatic stress disorder (ptsd)|N|N|New only
post-polycythemia vera myelofibrosis|N|N|New only
postdural puncture headache|N|N|New only
primary brain tumor|N|N|New only
primary progressive aphasia|N|N|New only
problem drinking|N|N|New only
progressive hairy cell leukemia, initial treatment|N|N|New only
prostate neoplasm|N|N|New only
psychiatric disorders|N|N|New only
psychosis nos|N|N|New only
pulmonary sarcoidosis|Y|N|New only
recurrent bladder cancer|N|N|New only
recurrent childhood supratentorial primitive neuroectodermal tumor|N|N|New only
recurrent childhood visual pathway and hypothalamic glioma|N|N|New only
recurrent disease|N|N|New only
recurrent endometrial carcinoma|N|N|New only
recurrent malignant testicular germ cell tumor|N|N|Both
recurrent non-hodgkin lymphoma|N|N|New only
recurrent oropharyngeal squamous cell carcinoma|N|N|New only
recurrent rectal carcinoma|N|N|New only
recurrent skin cancer|N|N|New only
refractory anemia|N|N|New only
refractory angina pectoris|N|N|New only
regional anesthesia morbidity|N|N|New only
renal function disorder|N|N|New only
resectable pancreatic cancer|N|N|New only
respiratory diseases|Y|N|New only
respiratory infections|Y|N|New only
restless legs syndrome (rls)|N|N|New only
salivary gland cancer|N|N|New only
sclc|N|N|New only
seborrheic keratosis|N|N|New only
severe aortic stenosis|N|N|New only
severe hypertriglyceridemia|N|N|New only
sexually transmitted infection|N|N|New only
sleep quality|N|N|New only
small for gestational age|N|N|New only
solid malignancies|N|N|Both
sprain|N|N|Both
stage 0 breast cancer|N|N|New only
stage i renal cell cancer|N|N|New only
stage ib non-small cell lung cancer|N|N|New only
stage ib non-small cell lung carcinoma|N|N|New only
stage ii squamous cell carcinoma of the oropharynx|N|N|New only
stage iii esophageal squamous cell carcinoma|N|N|New only
stage iiia cervical cancer|N|N|New only
stage iiic esophageal cancer|N|N|New only
stage iv bladder urothelial carcinoma|N|N|New only
stage iv prostate adenocarcinoma|N|N|New only
stage iv salivary gland cancer|N|N|New only
stage iva laryngeal squamous cell carcinoma|N|N|New only
stage iva oral cavity squamous cell carcinoma|N|N|New only
stage iva squamous cell carcinoma of the paranasal sinus and nasal cavity|N|N|New only
stage ivb oropharyngeal squamous cell carcinoma|N|N|New only
stage ivb squamous cell carcinoma of the paranasal sinus and nasal cavity|N|N|New only
stem cell transplant|N|N|New only
streptococcus pneumoniae|N|N|New only
stress disorders, post traumatic|N|N|New only
stunting|N|N|New only
subclinical hypothyroidism|N|N|New only
swine-origin a/h1n1 influenza|N|N|Both
systemic mastocytosis|N|N|New only
therapy-related acute myeloid leukemia|N|N|New only
therapy-related toxicity|N|N|New only
thrombotic thrombocytopenic purpura|N|N|Both
thyroid neoplasm|N|N|Both
tibial fracture|N|N|New only
tinea cruris|N|N|New only
tobacco smoking behavior|N|N|New only
tongue carcinoma|N|N|New only
tooth extraction status nos|N|N|New only
total parenteral nutrition-induced cholestasis|N|N|New only
transfusion|N|N|New only
transfusional iron overload|N|N|Both
transient insomnia|N|N|Both
treatment-resistant depression|N|N|New only
type1diabetes|N|N|New only
ulcerative colitis (uc)|N|N|New only
umbilical cord|N|N|New only
upper respiratory infection|N|N|New only
urge incontinence|N|N|New only
urinary bladder cancer|N|N|New only
uterine carcinosarcoma|N|N|New only
uterine myomas|N|N|Both
vaccines|N|N|New only
vaginal vault prolapse|N|N|New only
variceal bleeding|N|N|Both
vascular function|N|N|New only
venous reflux|N|N|New only
vesicoureteral reflux|N|N|New only
volunteers|N|N|New only
abnormal uterine bleeding|N|N|New only
acquired immune deficiency syndrome virus|N|N|New only
active rheumatoid arthritis|N|N|Both
acute pyelonephritis|N|N|New only
adult acute megakaryoblastic leukemia|N|N|New only
adult acute myeloid leukemia with maturation|N|N|New only
adult acute myelomonocytic leukemia|N|N|New only
adult acute promyelocytic leukemia (m3)|N|N|New only
adult brain glioblastoma|N|N|New only
adult ependymoma|N|N|New only
adult erythroleukemia|N|N|New only
adult pure erythroid leukemia|N|N|New only
adult synovial sarcoma|N|N|New only
advance care planning|N|N|New only
advanced gastric adenocarcinoma|N|N|New only
age-related maculopathy|N|N|Both
age-related memory disorders|N|N|New only
alcohol withdrawal|N|N|New only
allergic contact dermatitis|N|N|New only
allodynia|N|N|New only
alopecia, androgenetic|N|N|New only
anal fissure|N|N|New only
analgesia disorder|N|N|New only
angiosarcoma|N|N|New only
appetite and general nutritional disorders|N|N|New only
arterial stiffness|N|N|New only
arthritis, juvenile rheumatoid|N|N|New only
arthropathy of hip|N|N|New only
astrocytoma, grade iv|N|N|New only
attention-deficit hyperactivity disorder|N|N|New only
b acute lymphoblastic leukemia|N|N|New only
b-cell non-hodgkin lymphoma|N|N|New only
bacterial infection due to helicobacter pylori (h. pylori)|N|N|New only
bacterial meningitis|N|N|New only
bacterial pneumonia|N|N|New only
biliary obstruction|N|N|New only
bioequivalency|N|N|Both
birch pollen allergy|N|N|New only
bone fracture|N|N|New only
bone marrow failure|N|N|New only
bowel obstruction|N|N|New only
brain stem glioma|N|N|New only
brca1 mutation|N|N|New only
breast adenocarcinoma|N|N|New only
breast cancer survivors|N|N|New only
breast fibroadenoma|N|N|New only
breast tumor|N|N|New only
bullous keratopathy|N|N|New only
cancer of prostate|N|N|New only
cancer related fatigue|N|N|New only
cancer-related problem/condition|N|N|New only
carcinoma breast stage iv|N|N|New only
caregiver|N|N|New only
castration-resistant prostate carcinoma|N|N|New only
central nervous system lymphoma|N|N|New only
cerebral blood flow|N|N|New only
cerebral edema|N|N|New only
cervicogenic headache|N|N|New only
childbirth|N|N|Both
childhood atypical teratoid/rhabdoid tumor|N|N|New only
childhood choroid plexus tumor|N|N|New only
chronic anal fissure|N|N|New only
chronic cough|Y|N|New only
chronic headache|N|N|New only
chronic lower back pain|N|N|New only
chronic myelomonocytic leukemia (cmml)|N|N|New only
chronic myocardial ischemia|N|N|New only
chronic pelvic pain syndrome|N|N|Both
chronic phase chronic myelogenous leukemia, bcr-abl1 positive|N|N|New only
chronic phase chronic myeloid leukemia|N|N|New only
coagulation|N|N|New only
cognitive development|N|N|Both
cognitive function 1, social|N|N|New only
cold|N|N|New only
colonic polyp|N|N|New only
comorbidity|N|N|New only
compensated cirrhosis|N|N|New only
compliance behavior|N|N|New only
complicated urinary tract infection|N|N|New only
conditions influencing health status|N|N|New only
conductive hearing loss|N|N|New only
congenital cytomegalovirus infection|N|N|New only
congenital fxiii deficiency|N|N|New only
contact lens wear|N|N|Both
corneal astigmatism|N|N|New only
cow milk allergy|N|N|New only
craniosynostosis|N|N|New only
crow's feet lines|N|N|New only
cushing's syndrome|N|N|New only
cutaneous lupus erythematosus|N|N|New only
cutaneous t cell lymphoma|N|N|New only
cutaneous t-cell lymphoma (ctcl)|N|N|New only
cytokines|N|N|New only
deep vein thrombosis (dvt)|N|N|New only
delayed gastric emptying|N|N|New only
dental implant|N|N|New only
developmental delays|N|N|New only
diabetes mellitus type 2 in obese|N|N|New only
diabetes mellitus, insulin-dependent|N|N|New only
diabetic macular oedema|N|N|New only
diarrhea-predominant irritable bowel syndrome|N|N|New only
diffuse adenocarcinoma of the stomach|N|N|New only
diffuse large b-cell lymphoma (dlbcl)|N|N|New only
disease, hodgkin|N|N|Both
disorder of shoulder|N|N|New only
disorder related to lung transplantation|Y|Y|New only
disorders associated with peritoneal dialysis|N|N|New only
diverticulosis|N|N|New only
drug toxicity|N|N|New only
dry eyes|N|N|New only
dysfunctional uterine bleeding|N|N|New only
dyskinesia|N|N|New only
ectopic pregnancy|N|N|New only
education, medical|N|N|New only
egfr activating mutation|N|N|New only
emergence agitation|N|N|New only
emotional distress|N|N|New only
endoscopic retrograde cholangiopancreatography|N|N|New only
exercise capacity|N|N|New only
extensive stage small cell lung carcinoma|N|N|New only
extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue|N|N|New only
facial rhytides|N|N|New only
fallopian tube mucinous adenocarcinoma|N|N|New only
fallopian tube serous adenocarcinoma|N|N|New only
family planning|N|N|New only
femur fracture|N|N|Both
fibroid|N|N|New only
food intake|N|N|New only
gastric varices|N|N|New only
gastrointestinal cancers|N|N|New only
gastrointestinal symptoms|N|N|Both
growth hormone deficiency in children|N|N|New only
growth retardation|N|N|New only
gynecologic diseases|N|N|New only
haemorrhage|N|N|New only
hairy cell leukemia|N|N|New only
health behaviour|N|N|New only
hepatitis b infection|N|N|New only
high-risk pregnancy|N|N|New only
hiv risk|N|N|New only
hookworm disease|N|N|New only
hormone receptor positive tumor|N|N|New only
hpv|N|N|Both
hpv infections|N|N|Both
hyperlipoproteinemia|N|N|New only
hypertrophic scar|N|N|New only
immune function|N|N|New only
immune response|N|N|New only
in-stent restenosis|N|N|Both
influenza a virus infection|N|N|New only
influenza vaccines|N|N|New only
intervertebral disk displacement|N|N|New only
intestinal adenocarcinoma of the stomach|N|N|New only
intra-abdominal infection|N|N|New only
intractable pain|N|N|New only
intubation, endotracheal|Y|N|New only
iris melanoma|N|N|New only
ischaemic heart disease|N|N|New only
ischemic heart failure|N|N|New only
kaposi's sarcoma|N|N|New only
knee arthroscopy|N|N|New only
large cell lung cancer|N|N|New only
locally advanced breast cancer|N|N|New only
low back pain, mechanical|N|N|New only
low grade glioma|N|N|New only
lower limb amputation|N|N|New only
lumbosacral radiculopathy|N|N|New only
lung resection|Y|N|New only
macular holes|N|N|New only
malignant solid tumors|N|N|New only
marijuana use|N|N|New only
mdd|N|N|New only
medication compliance|N|N|New only
medication therapy management|N|N|New only
memory deficits|N|N|New only
memory loss|N|N|New only
meniscal tear|N|N|New only
meniscus lesion|N|N|New only
metastatic colon cancer|N|N|New only
metastatic malignant neoplasm in the bone|N|N|New only
metastatic malignant neoplasm to brain|N|N|New only
milk allergy|N|N|New only
minimal hepatic encephalopathy|N|N|Both
mixed adenocarcinoma of the stomach|N|N|New only
mixed glioma|N|N|New only
mrsa - methicillin resistant staphylococcus aureus infection|N|N|New only
muscle wasting|N|N|New only
myalgic encephalomyelitis|N|N|New only
myelodysplastic syndrome with isolated del(5q)|N|N|New only
neonatal death|N|N|New only
neonatal encephalopathy|N|N|New only
neonatal jaundice|N|N|New only
neoplasms, ovarian|N|N|New only
neovascular age related macular degeneration|N|N|Both
neuromyelitis optica spectrum disorder|N|N|New only
non-erosive reflux disease|N|N|New only
non-inflammatory degenerative joint disease|N|N|New only
non-small cell lung cancer stage iv|N|N|New only
nonmalignant neoplasm|N|N|Both
nonsquamous nonsmall cell neoplasm of lung|N|N|New only
nosocomial infections|N|N|New only
nosocomial pneumonia|N|N|New only
nutritional deficiency|N|N|New only
obsessive compulsive disorder (ocd)|N|N|New only
obstetric labour, premature|N|N|New only
ocular hypertension (oht)|N|N|New only
omphalitis|N|N|New only
opioid related disorders|N|N|New only
orofacial pain|N|N|New only
oropharynx cancer|N|N|New only
osteoarthritis of the hip|N|N|New only
pain control|N|N|New only
pain due to certain specified procedures|N|N|New only
pain, post-operative|N|N|New only
partially edentulous jaw|N|N|New only
patient participation|N|N|New only
patient safety|N|N|New only
penile cancer|N|N|New only
performance|N|N|New only
peritoneal carcinoma|N|N|New only
pharmacokinetic|N|N|Both
pharmacology, clinical|N|N|New only
pituitary adenoma|N|N|New only
polyp of large intestine|N|N|New only
poor glycemic control|N|N|New only
poor ovarian response|N|N|New only
post-traumatic; arthrosis|N|N|New only
postmenopausal disorder|N|N|New only
postoperative analgesia|N|N|New only
postprandial hyperglycemia|N|N|New only
poverty|N|N|New only
pre-diabetic|N|N|New only
preterm infant|N|N|New only
primary open angle glaucoma (poag)|N|N|New only
radiation dermatitis|N|N|New only
rectal neoplasm|N|N|New only
recurrent adult liver carcinoma|N|N|New only
recurrent childhood subependymal giant cell astrocytoma|N|N|New only
recurrent head and neck cancer|N|N|New only
recurrent laryngeal squamous cell carcinoma|N|N|New only
recurrent lymphoplasmacytic lymphoma|N|N|New only
recurrent urinary tract infection|N|N|New only
refractory adult acute lymphoblastic leukemia|N|N|New only
refractory cytopenia with multilineage dysplasia|N|N|Both
respiratory tract infection|Y|N|New only
retention|N|N|New only
rhegmatogenous retinal detachment|N|N|New only
rhinitis, allergic, perennial and seasonal|N|N|New only
rotator cuff disease|N|N|New only
rotator cuff syndrome|N|N|New only
rotavirus infection|N|N|New only
schizophrenia and disorders with psychotic features|N|N|New only
secondary myelodysplastic syndrome|N|N|New only
serious mental illness|N|N|New only
severe persistent asthma|Y|N|New only
shift-work sleep disorder|N|N|New only
shoulder injury|N|N|New only
side effects|N|N|New only
single ventricle|N|N|New only
skin and subcutaneous tissue bacterial infections|N|N|New only
skin structures and soft tissue infections|N|N|New only
slipped capital femoral epiphysis|N|N|New only
small bowel obstruction|N|N|New only
small intestinal bacterial overgrowth|N|N|New only
smoking, tobacco|N|N|New only
soft-tissue sarcoma|N|N|New only
spinocerebellar ataxia|N|N|New only
spinocerebellar degeneration|N|N|New only
squamous cell cancer|N|N|Both
squamous cell carcinoma of the oral cavity|N|N|New only
squamous cell carcinoma of the skin|N|N|New only
squamous non-small cell lung cancer|N|N|New only
stage i colon cancer|N|N|New only
stage i squamous cell carcinoma of the oropharynx|N|N|New only
stage ia non-small cell lung cancer|N|N|New only
stage ii uterine corpus cancer|N|N|New only
stage iia colon cancer|N|N|New only
stage iib colon cancer|N|N|New only
stage iib skin melanoma|N|N|New only
stage iic colon cancer|N|N|New only
stage iic skin melanoma|N|N|New only
stage iii non-small cell lung cancer ajcc v7|N|N|New only
stage iii ovarian epithelial cancer|N|N|Both
stage iii rectal cancer|N|N|New only
stage iii salivary gland cancer|N|N|New only
stage iiia ovarian epithelial cancer|N|N|New only
stage iiib esophageal cancer|N|N|New only
stage iiib ovarian epithelial cancer|N|N|New only
stage iiic ovarian epithelial cancer|N|N|New only
stage iv lung cancer|N|N|New only
stage ivc squamous cell carcinoma of the paranasal sinus and nasal cavity|N|N|New only
stem cell transplantation, hematopoietic|N|N|New only
stomach neoplasm|N|N|New only
sudden death|N|N|New only
survival|N|N|New only
t cell lymphoma|N|N|New only
tattoo removal|N|N|New only
thrombus|N|N|New only
thyroid|N|N|New only
thyroid disease|N|N|New only
thyroid eye disease|N|N|New only
to determine bioequivalence under fed conditions.|N|N|Both
total laryngectomy|N|N|New only
tourette's syndrome|N|N|New only
transitional cell cancer of the renal pelvis and ureter|N|N|Both
traumatic amputation of lower extremity|N|N|New only
ttr-mediated amyloidosis|N|N|New only
type-2 diabetes|N|N|New only
type2 diabetes mellitus|N|N|New only
unresectable malignant neoplasm|N|N|New only
upper airway obstruction|Y|N|New only
urinary complications|N|N|Both
urinary urge incontinence|N|N|New only
uterine corpus leiomyosarcoma|N|N|New only
uterine leiomyoma|N|N|New only
valve surgery|N|N|Both
vegetative state|N|N|New only
vitamin d|N|N|New only
wegener's granulomatosis|N|N|Both
weight changes|N|N|Both
weight reduction|N|N|New only
wet age-related macular degeneration|N|N|Both
wound complication|N|N|New only
abdominal aortic aneurysm (aaa)|N|N|New only
abdominal compartment syndrome|Y|N|New only
acute bronchiolitis|Y|N|New only
acute hepatitis c|N|N|New only
acute kidney failure|N|N|Both
acute leukemia of ambiguous lineage|N|N|New only
acute leukemias|N|N|New only
acute low back pain|N|N|New only
acute myocardial infarction (ami)|N|N|New only
acute on chronic hepatic failure|N|N|New only
acute respiratory infections|Y|N|New only
acute upper respiratory tract infections|N|N|New only
adenoviral conjunctivitis|N|N|New only
adult acute myeloid leukemia with minimal differentiation|N|N|New only
adult acute myeloid leukemia with t(9;11)(p22;q23); mllt3-mll|N|N|New only
adult angiosarcoma|N|N|New only
adult grade ii meningioma|N|N|New only
adult liposarcoma|N|N|New only
adult pineoblastoma|N|N|New only
adult soft tissue sarcoma|N|N|New only
adult supratentorial primitive neuroectodermal tumor (pnet)|N|N|New only
adult t acute lymphoblastic leukemia|N|N|New only
adult t-cell leukemia-lymphoma|N|N|New only
adverse drug reaction|N|N|New only
adverse effect of radiation therapy|N|N|New only
adverse events|N|N|New only
aerobic exercise|N|N|New only
age-related macular degeneration (amd)|N|N|New only
airway complication of anaesthesia|Y|N|New only
alcohol addiction|N|N|New only
alzheimers disease|N|N|New only
amputation stumps|N|N|New only
anal incontinence|N|N|New only
anastomotic leakage|N|N|New only
anesthesia; functional|N|N|New only
anesthetics, local|N|N|New only
ankle injury|N|N|New only
antibiotic associated diarrhea|N|N|New only
antineoplastic agents|N|N|New only
aortic disease|N|N|New only
aortic insufficiency|N|N|New only
aortic regurgitation|N|N|New only
arthropathy of knee|N|N|New only
asd|N|N|New only
asherman syndrome|N|N|New only
asymptomatic bacteriuria|N|N|New only
atopy|N|N|New only
axillary hyperhidrosis|N|N|New only
b-cell childhood acute lymphoblastic leukemia|N|N|New only
b-cell lymphomas|N|N|New only
b-cell prolymphocytic leukemia|N|N|New only
basal cell carcinoma of the skin|N|N|New only
behaviour|N|N|New only
beta-thalassemia major|N|N|New only
bipolar ii disorder|N|N|New only
bladder outlet obstruction|N|N|New only
bladder pain syndrome|N|N|New only
bone fractures|N|N|New only
brain tumor, primary|N|N|New only
brainstem glioma|N|N|New only
breast abnormalities|N|N|Both
burn scar|N|N|New only
burnout|N|N|New only
caesarean section|N|N|New only
cancer of liver|N|N|New only
cancer of ovary|N|N|New only
cancer prevention|N|N|New only
cancer, breast|N|N|New only
cardiac death|N|N|New only
cardiorenal syndrome|N|N|New only
cardiovascular disease risk|N|N|New only
caries, dental|N|N|New only
central venous catheterization|Y|N|New only
cervical spondylosis|N|N|New only
chemoradiation|N|N|New only
chf|N|N|New only
childhood acute erythroleukemia (m6)|N|N|New only
childhood acute megakaryocytic leukemia (m7)|N|N|New only
childhood central nervous system germ cell tumor|N|N|New only
childhood craniopharyngioma|N|N|New only
childhood high-grade cerebellar astrocytoma|N|N|New only
childhood high-grade cerebral astrocytoma|N|N|New only
childhood infratentorial ependymoma|N|N|New only
childhood medulloepithelioma|N|N|New only
childhood mixed glioma|N|N|New only
childhood supratentorial ependymoma|N|N|New only
choroidal melanoma|N|N|New only
chronic arsenic poisoning|N|N|New only
chronic fatigue|N|N|New only
chronic inflammation|N|N|New only
chronic ischemic heart disease|N|N|New only
chronic kidney disease stage 5|N|N|New only
chronic myeloid leukemia (cml)|N|N|New only
chronic postoperative pain|N|N|New only
chronic spontaneous urticaria|N|N|New only
chronic tic disorder|N|N|New only
chronic total occlusion of coronary artery|N|N|New only
chronic wounds|N|N|New only
cigarette smoking behavior|N|N|New only
circumcision|N|N|New only
circumference reduction|N|N|New only
clinically isolated syndrome|N|N|New only
collagen disorders|N|N|Both
colorectal liver metastases|N|N|New only
common bile duct stones|N|N|New only
common warts|N|N|New only
complementary feeding|N|N|New only
complete tear, knee, anterior cruciate ligament|N|N|New only
complex regional pain syndrome (crps)|N|N|New only
complication of coronary artery bypass graft|N|N|New only
complication of prematurity|N|N|New only
complications due to coronary artery bypass graft|N|N|New only
complications; arthroplasty|N|N|New only
contingency management|N|N|New only
contrast-induced nephropathy|N|N|New only
corneal disease|N|N|New only
coronary artery calcification|N|N|New only
crohns disease|N|N|New only
cutaneous melanoma|N|N|New only
cvd|N|N|New only
cytomegalovirus|N|N|New only
dcis|N|N|New only
degenerative lesion of articular cartilage of knee|N|N|New only
delirium, dementia, amnestic, cognitive disorders|N|N|New only
delivery systems|N|N|New only
depression, unipolar|N|N|New only
diabetes mellitus, adult-onset|N|N|New only
difficulty walking|N|N|New only
digestive system disorders|N|N|New only
dlbcl|N|N|New only
drug-drug interaction|N|N|New only
drug-drug interaction (ddi)|N|N|New only
dupuytren's contracture|N|N|New only
early breast cancer|N|N|New only
early childhood caries|N|N|New only
ectasia|N|N|New only
effects of vibration|N|N|New only
egfr positive non-small cell lung cancer|N|N|New only
emotional stress|N|N|New only
endometrial mixed adenocarcinoma|N|N|New only
endometrial transitional cell carcinoma|N|N|New only
enteral feeding|N|N|New only
epicondylitis|N|N|New only
epilepsy, partial|N|N|New only
excessive sleepiness|N|N|New only
exclusive breastfeeding|N|N|New only
extramedullary plasmacytoma|N|N|New only
extranodal nk/t-cell lymphoma, nasal type|N|N|New only
facioscapulohumeral muscular dystrophy|N|N|New only
familial dysautonomia|N|N|New only
family caregivers|N|N|New only
fasting state|N|N|New only
female breast cancer|N|N|New only
female contraception|N|N|New only
female infertility due to diminished ovarian reserve|N|N|New only
femoral artery stenosis|N|N|New only
femoral fracture|N|N|New only
fetal alcohol syndrome|N|N|New only
focal dystonia|N|N|New only
focal epilepsy|N|N|New only
foot drop|N|N|New only
gastric tumor|N|N|New only
gastrointestinal motility disorder|N|N|New only
general surgery|N|N|New only
genetic diseases|N|N|New only
geriatrics|N|N|New only
glabellar rhytides|N|N|New only
gne myopathy|N|N|New only
gonorrhoea|N|N|New only
grade 1 follicular lymphoma|N|N|New only
grade 2 follicular lymphoma|N|N|New only
h1n1 influenza virus|N|N|Both
haemodialysis|N|N|Both
haemophilia|N|N|New only
hand eczema|N|N|New only
headache, migraine|N|N|New only
healthy men and women|N|N|New only
healthy term infants|N|N|New only
hearing impairment|N|N|New only
heart failure with normal ejection fraction|N|N|New only
hematological disease|N|N|New only
hemorrhoid|N|N|New only
her2 positive|N|N|New only
herniated disc|N|N|New only
hip pain|N|N|New only
hiv lipodystrophy|N|N|New only
homelessness|N|N|New only
hormone receptor positive malignant neoplasm of breast|N|N|New only
human immunodeficiency virus (hiv) infection|N|N|New only
hypercholesteremia|N|N|New only
hyperinsulinemia|N|N|New only
hypersomnia|N|N|New only
hypertension resistant to conventional therapy|N|N|New only
hyperthermia|N|N|New only
hypomagnesemia|N|N|New only
hypothalamic obesity|N|N|New only
idiopathic intracranial hypertension|N|N|New only
immune deficiency|N|N|New only
immunodeficiency|N|N|New only
impaired driving|N|N|New only
increased metabolic requirement|N|N|New only
indolent non-hodgkin's lymphoma|N|N|New only
infantile hemangioma|N|N|New only
influenza a virus, h1n1 subtype|N|N|New only
influenza vaccine|N|N|New only
injuries, spinal cord|N|N|New only
injury of anterior cruciate ligament|N|N|New only
intermittent exotropia|N|N|New only
intervention|N|N|New only
intervertebral disc disease|N|N|New only
intrabony periodontal defect|N|N|New only
intracerebral haemorrhage|N|N|New only
intraoperative bleeding|N|N|New only
intrauterine adhesions|N|N|New only
intrauterine growth restriction|N|N|New only
invasive fungal infection|Y|N|New only
invasive lobular breast carcinoma|N|N|New only
iodine deficiency|N|N|New only
iron absorption|N|N|New only
irritable bowel syndrome with constipation|N|N|New only
kaposi sarcoma|N|N|New only
kidney injury|N|N|Both
labor; forced or induced, affecting fetus or newborn|N|N|New only
laceration|N|N|New only
langerhans cell histiocytosis|Y|N|New only
laryngeal cancer|N|N|New only
late onset neonatal sepsis|N|N|New only
left ventricular systolic dysfunction|N|N|New only
leukemia, acute lymphoblastic|N|N|New only
leukemia, chronic myeloid|N|N|New only
leukemia, myeloid, chronic|N|N|Both
lifestyle-related condition|N|N|New only
light chain deposition disease|N|N|New only
lipids|N|N|New only
liver carcinoma|N|N|New only
liver neoplasm|N|N|New only
liver surgery|N|N|New only
living donors|N|N|New only
locally advanced|N|N|New only
locally advanced cervical cancer|N|N|New only
low bone mineral density|N|N|Both
low cardiac output syndrome|N|N|New only
lower limb ischemia|N|N|New only
lumbago|N|N|New only
lumbar spine disc herniation|N|N|New only
lung metastasis|N|N|New only
lupus|N|N|New only
lymphoblastic leukemia|N|N|Both
lymphoma, non-hodgkin's|N|N|New only
malabsorption|N|N|New only
malignant melanoma, neoplasms|N|N|New only
malignant ovarian mixed epithelial tumor|N|N|New only
malignant peripheral nerve sheath tumor|N|N|New only
men|N|N|New only
meningococcemia|N|N|Both
meniscus tear|N|N|New only
metabolic cardiovascular syndrome|N|N|New only
metachromatic leukodystrophy|N|N|New only
metastatic|N|N|New only
metastatic cancers|N|N|New only
metastatic ewing sarcoma/peripheral primitive neuroectodermal tumor|N|N|New only
metastatic lung cancer|N|N|New only
metastatic malignant melanoma|N|N|New only
metastatic malignant neoplasm in the lung|N|N|New only
